,t,infection_fraction
0,0,0.21
1,1,0.21
2,2,0.21
3,3,0.21
4,4,0.21
5,5,0.21
6,6,0.21
7,7,0.21
8,8,0.21
9,9,0.22
10,10,0.23
11,11,0.23
12,12,0.23
13,13,0.23
14,14,0.24
15,15,0.24
16,16,0.23
17,17,0.2
18,18,0.15
19,19,0.09
20,20,0.07
21,21,0.07
22,22,0.07
23,23,0.07
24,24,0.08
25,25,0.09
26,26,0.1
27,27,0.13
28,28,0.13
29,29,0.13
30,30,0.14
31,31,0.14
32,32,0.13
33,33,0.14
34,34,0.13
35,35,0.13
36,36,0.12
37,37,0.12
38,38,0.12
39,39,0.13
40,40,0.14
41,41,0.15
42,42,0.13
43,43,0.13
44,44,0.14
45,45,0.14
46,46,0.11
47,47,0.1
48,48,0.11
49,49,0.11
50,50,0.11
51,51,0.1
52,52,0.09
53,53,0.11
54,54,0.11
55,55,0.12
56,56,0.12
57,57,0.12
58,58,0.1
59,59,0.11
60,60,0.1
61,61,0.11
62,62,0.09
63,63,0.09
64,64,0.09
65,65,0.09
66,66,0.08
67,67,0.08
68,68,0.08
69,69,0.08
70,70,0.08
71,71,0.09
72,72,0.08
73,73,0.08
74,74,0.08
75,75,0.07
76,76,0.09
77,77,0.08
78,78,0.08
79,79,0.08
80,80,0.08
81,81,0.08
82,82,0.09
83,83,0.09
84,84,0.1
85,85,0.1
86,86,0.1
87,87,0.1
88,88,0.09
89,89,0.07
90,90,0.08
91,91,0.08
92,92,0.06
93,93,0.06
94,94,0.06
95,95,0.05
96,96,0.04
97,97,0.05
98,98,0.05
99,99,0.05
100,100,0.04
101,101,0.04
102,102,0.04
103,103,0.03
104,104,0.03
105,105,0.03
106,106,0.04
107,107,0.05
108,108,0.04
109,109,0.04
110,110,0.04
111,111,0.03
112,112,0.03
113,113,0.03
114,114,0.03
115,115,0.03
116,116,0.03
117,117,0.03
118,118,0.03
119,119,0.03
120,120,0.04
121,121,0.04
122,122,0.04
123,123,0.04
124,124,0.06
125,125,0.05
126,126,0.04
127,127,0.04
128,128,0.04
129,129,0.04
130,130,0.04
131,131,0.04
132,132,0.04
133,133,0.04
134,134,0.04
135,135,0.04
136,136,0.05
137,137,0.05
138,138,0.05
139,139,0.04
140,140,0.05
141,141,0.06
142,142,0.05
143,143,0.04
144,144,0.04
145,145,0.04
146,146,0.04
147,147,0.04
148,148,0.04
149,149,0.04
150,150,0.05
151,151,0.05
152,152,0.05
153,153,0.07
154,154,0.05
155,155,0.05
156,156,0.05
157,157,0.06
158,158,0.06
159,159,0.05
160,160,0.05
161,161,0.05
162,162,0.05
163,163,0.05
164,164,0.05
165,165,0.05
166,166,0.05
167,167,0.05
168,168,0.05
169,169,0.05
170,170,0.05
171,171,0.04
172,172,0.03
173,173,0.03
174,174,0.02
175,175,0.02
176,176,0.01
177,177,0.02
178,178,0.02
179,179,0.02
180,180,0.02
181,181,0.04
182,182,0.04
183,183,0.04
184,184,0.04
185,185,0.04
186,186,0.04
187,187,0.04
188,188,0.04
189,189,0.03
190,190,0.03
191,191,0.03
192,192,0.03
193,193,0.04
194,194,0.04
195,195,0.03
196,196,0.03
197,197,0.04
198,198,0.04
199,199,0.03
200,200,0.02
201,201,0.02
202,202,0.03
203,203,0.03
204,204,0.03
205,205,0.03
206,206,0.03
207,207,0.03
208,208,0.03
209,209,0.03
210,210,0.03
211,211,0.02
212,212,0.02
213,213,0.02
214,214,0.02
215,215,0.02
216,216,0.01
217,217,0.01
218,218,0.01
219,219,0.01
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.0
224,224,0.0
225,225,0.0
226,226,0.01
227,227,0.01
228,228,0.02
229,229,0.02
230,230,0.02
231,231,0.02
232,232,0.02
233,233,0.02
234,234,0.02
235,235,0.02
236,236,0.02
237,237,0.02
238,238,0.02
239,239,0.02
240,240,0.02
241,241,0.02
242,242,0.02
243,243,0.02
244,244,0.02
245,245,0.01
246,246,0.01
247,247,0.0
248,248,0.0
249,249,0.0
250,250,0.01
251,251,0.01
252,252,0.01
253,253,0.01
254,254,0.01
255,255,0.01
256,256,0.01
257,257,0.02
258,258,0.02
259,259,0.02
260,260,0.02
261,261,0.02
262,262,0.02
263,263,0.02
264,264,0.02
265,265,0.02
266,266,0.02
267,267,0.02
268,268,0.02
269,269,0.02
270,270,0.02
271,271,0.02
272,272,0.02
273,273,0.02
274,274,0.02
275,275,0.01
276,276,0.01
277,277,0.01
278,278,0.01
279,279,0.01
280,280,0.02
281,281,0.02
282,282,0.02
283,283,0.03
284,284,0.03
285,285,0.03
286,286,0.03
287,287,0.03
288,288,0.02
289,289,0.02
290,290,0.02
291,291,0.02
292,292,0.02
293,293,0.03
294,294,0.03
295,295,0.03
296,296,0.03
297,297,0.03
298,298,0.02
299,299,0.02
300,300,0.02
301,301,0.02
302,302,0.01
303,303,0.01
304,304,0.01
305,305,0.01
306,306,0.01
307,307,0.01
308,308,0.01
309,309,0.01
310,310,0.01
311,311,0.01
312,312,0.01
313,313,0.0
314,314,0.0
315,315,0.0
316,316,0.0
317,317,0.0
318,318,0.0
319,319,0.0
320,320,0.0
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,0.0
332,332,0.0
333,333,0.0
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,0.0
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,0.0
355,355,0.0
356,356,0.0
357,357,0.0
358,358,0.0
359,359,0.0
360,360,0.0
361,361,0.0
362,362,0.0
363,363,0.0
364,364,0.0
365,365,0.0
366,366,0.0
367,367,0.0
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,0.0
375,375,0.0
376,376,0.0
377,377,0.0
378,378,0.0
379,379,0.0
380,380,0.0
381,381,0.0
382,382,0.0
383,383,0.0
384,384,0.0
385,385,0.0
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,0.0
391,391,0.0
392,392,0.0
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.0
404,404,0.0
405,405,0.0
406,406,0.0
407,407,0.0
408,408,0.0
409,409,0.0
410,410,0.0
411,411,0.0
412,412,0.0
413,413,0.0
414,414,0.0
415,415,0.0
416,416,0.0
417,417,0.0
418,418,0.0
419,419,0.0
420,420,0.0
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,0.0
429,429,0.0
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,0.0
435,435,0.0
436,436,0.0
437,437,0.0
438,438,0.0
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,0.0
446,446,0.0
447,447,0.0
448,448,0.0
449,449,0.0
450,450,0.0
451,451,0.0
452,452,0.0
453,453,0.0
454,454,0.0
455,455,0.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,0.0
462,462,0.0
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,0.0
469,469,0.0
470,470,0.0
471,471,0.0
472,472,0.0
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,0.0
478,478,0.0
479,479,0.0
480,480,0.0
481,481,0.0
482,482,0.0
483,483,0.0
484,484,0.0
485,485,0.0
486,486,0.0
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,0.0
492,492,0.0
493,493,0.0
494,494,0.0
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0
499,499,0.0
500,500,0.0
501,501,0.0
502,502,0.0
503,503,0.0
504,504,0.0
505,505,0.0
506,506,0.0
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,0.0
514,514,0.0
515,515,0.0
516,516,0.0
517,517,0.0
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,0.0
523,523,0.0
524,524,0.0
525,525,0.0
526,526,0.0
527,527,0.0
528,528,0.0
529,529,0.0
530,530,0.0
531,531,0.0
532,532,0.0
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,0.0
539,539,0.0
540,540,0.0
541,541,0.0
542,542,0.0
543,543,0.0
544,544,0.0
545,545,0.0
546,546,0.0
547,547,0.0
548,548,0.0
549,549,0.0
550,550,0.0
551,551,0.0
552,552,0.0
553,553,0.0
554,554,0.0
555,555,0.0
556,556,0.0
557,557,0.0
558,558,0.0
559,559,0.0
560,560,0.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,0.0
565,565,0.0
566,566,0.0
567,567,0.0
568,568,0.0
569,569,0.0
570,570,0.0
571,571,0.0
572,572,0.0
573,573,0.0
574,574,0.0
575,575,0.0
576,576,0.0
577,577,0.0
578,578,0.0
579,579,0.0
580,580,0.0
581,581,0.0
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,0.0
587,587,0.0
588,588,0.0
589,589,0.0
590,590,0.0
591,591,0.0
592,592,0.0
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.0
597,597,0.0
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,0.0
603,603,0.0
604,604,0.0
605,605,0.0
606,606,0.0
607,607,0.0
608,608,0.0
609,609,0.0
610,610,0.0
611,611,0.0
612,612,0.0
613,613,0.0
614,614,0.0
615,615,0.0
616,616,0.0
617,617,0.0
618,618,0.0
619,619,0.0
620,620,0.0
621,621,0.0
622,622,0.0
623,623,0.0
624,624,0.0
625,625,0.0
626,626,0.0
627,627,0.0
628,628,0.0
629,629,0.0
630,630,0.0
631,631,0.0
632,632,0.0
633,633,0.0
634,634,0.0
635,635,0.0
636,636,0.0
637,637,0.0
638,638,0.0
639,639,0.0
