0,0.2025,0.0,0,5,0.0
1,0.2025,0.01,0,7,0.0
2,0.2025,0.02,0,11,0.0
3,0.2025,0.032,0,16,0.0
4,0.2025,0.044,0,19,0.0
5,0.2025,0.054,0,22,0.0
6,0.2075,0.066,0,26,0.0
7,0.2075,0.078,2,33,0.0
8,0.21,0.088,3,36,0.0
9,0.21,0.094,3,38,0.0
10,0.21,0.098,3,43,0.0
11,0.21,0.108,4,48,0.0
12,0.21,0.116,5,56,0.0
13,0.215,0.118,7,65,0.0
14,0.22,0.118,7,73,0.0
15,0.22,0.124,7,76,0.0025
16,0.225,0.13,8,82,0.005
17,0.2175,0.146,11,84,0.015
18,0.135,0.154,15,90,0.0875
19,0.0575,0.164,22,93,0.155
20,0.05,0.17,22,98,0.1725
21,0.055,0.17,22,103,0.1725
22,0.07,0.172,24,106,0.1725
23,0.07,0.176,24,112,0.1725
24,0.075,0.178,27,115,0.17
25,0.08,0.174,28,122,0.1725
26,0.0825,0.174,29,127,0.175
27,0.0875,0.174,29,138,0.175
28,0.095,0.172,29,142,0.175
29,0.1,0.174,30,149,0.175
30,0.1075,0.178,30,155,0.18
31,0.11,0.182,31,160,0.1825
32,0.1275,0.184,31,166,0.1825
33,0.1225,0.184,33,169,0.1825
34,0.1225,0.184,33,171,0.185
35,0.1125,0.184,34,178,0.17
36,0.105,0.194,37,182,0.1375
37,0.1075,0.196,37,186,0.0775
38,0.1075,0.194,39,190,0.04
39,0.1075,0.196,41,200,0.0375
40,0.1075,0.196,43,206,0.04
41,0.1,0.196,44,212,0.05
42,0.1025,0.198,44,220,0.0525
43,0.11,0.198,46,227,0.0525
44,0.1,0.202,46,230,0.0575
45,0.1125,0.214,47,236,0.0625
46,0.1125,0.22,49,241,0.065
47,0.115,0.222,50,243,0.0675
48,0.11,0.224,51,251,0.065
49,0.1125,0.22,52,260,0.0825
50,0.125,0.22,52,263,0.0875
51,0.12,0.222,53,267,0.0925
52,0.13,0.222,54,270,0.085
53,0.1325,0.228,55,275,0.085
54,0.1375,0.224,56,277,0.085
55,0.145,0.23,56,280,0.0875
56,0.155,0.228,57,284,0.0875
57,0.1475,0.23,57,288,0.0925
58,0.155,0.232,57,299,0.0825
59,0.1675,0.228,57,304,0.08
60,0.1625,0.234,59,313,0.08
61,0.16,0.24,60,315,0.09
62,0.16,0.248,61,320,0.0875
63,0.1625,0.256,63,324,0.085
64,0.1575,0.26,63,331,0.1025
65,0.1675,0.264,64,334,0.105
66,0.1725,0.266,66,339,0.0975
67,0.1675,0.268,67,343,0.1
68,0.1575,0.268,68,347,0.1075
69,0.16,0.27,70,350,0.1
70,0.1675,0.278,70,353,0.105
71,0.17,0.276,71,355,0.1025
72,0.17,0.282,71,361,0.11
73,0.175,0.286,71,370,0.12
74,0.175,0.29,71,375,0.1325
75,0.18,0.296,71,378,0.135
76,0.185,0.298,73,387,0.1325
77,0.19,0.3,74,396,0.135
78,0.1825,0.298,76,399,0.13
79,0.1925,0.298,76,401,0.13
80,0.1875,0.304,76,404,0.1275
81,0.18,0.31,78,409,0.13
82,0.18,0.314,78,412,0.13
83,0.175,0.32,79,415,0.1375
84,0.1775,0.324,79,416,0.135
85,0.185,0.326,82,422,0.135
86,0.19,0.322,82,424,0.1275
87,0.19,0.326,84,429,0.1225
88,0.1825,0.326,86,434,0.13
89,0.1825,0.322,88,440,0.13
90,0.1875,0.328,88,445,0.13
91,0.1725,0.33,91,451,0.135
92,0.1775,0.336,93,456,0.13
93,0.185,0.344,94,457,0.13
94,0.185,0.344,97,459,0.13
95,0.185,0.344,98,471,0.1325
96,0.1875,0.346,98,474,0.135
97,0.185,0.35,98,479,0.14
98,0.2,0.344,99,481,0.1375
99,0.2025,0.352,100,485,0.1325
100,0.2075,0.354,100,489,0.14
101,0.21,0.358,101,494,0.1325
102,0.2125,0.36,101,498,0.13
103,0.205,0.36,102,501,0.1375
104,0.1975,0.36,103,508,0.145
105,0.2075,0.358,103,512,0.15
106,0.2,0.362,104,523,0.1575
107,0.2075,0.36,105,528,0.155
108,0.215,0.364,105,538,0.155
109,0.22,0.366,105,540,0.15
110,0.2125,0.372,107,543,0.1425
111,0.2,0.38,107,547,0.155
112,0.1975,0.38,108,554,0.16
113,0.1975,0.384,109,562,0.1725
